code,name,name_ascii,geonameid,iso,id,name_cn
LT.56,Alytus,Alytus,864389,LT,56,阿利图斯县
LT.57,Kaunas,Kaunas,864477,LT,57,考纳斯县
LT.58,Klaipėda County,Klaipeda County,864478,LT,58,克萊佩達縣
LT.59,Marijampolė County,Marijampole County,864479,LT,59,马里扬波莱县
LT.60,Panevėžys,Panevezys,864480,LT,60,帕内韦日斯县
LT.61,Siauliai,Siauliai,864481,LT,61,希奥利艾县
LT.62,Tauragė County,Taurage County,864482,LT,62,陶拉盖县
LT.63,Telsiai,Telsiai,864483,LT,63,泰尔希艾县
LT.64,Utena,Utena,864484,LT,64,乌泰纳县
LT.65,Vilnius,Vilnius,864485,LT,65,维尔纽斯县
